name,latitude,longitude,qr_code,postal_code
Boon Lay Way,1.3441,103.7204,IDlO1l2,649845
Science Drive 2,1.2964,103.7797,IM1l011O,117546
Tampines Street 92,1.3426,103.945,IM1l0120,528872
Seletar Aerospace Lane,1.4069,103.8597,IM1l0123,797435
Chin Bee Drive,1.3356,103.7148,IM1l0125,619864
Seletar Aerospace Lane,1.4069,103.8597,IM1l0126,797435
Pandan Road,1.3012,103.7537,IM1l0129,609261
Penjuru Close,1.3136,103.7314,IM1l0131,608619
Punggol Walk,1.4005,103.8977,IM1l0135,828700
Raffles Place,1.2847,103.8522,IM1l0137,48623
Kallang Place,1.317,103.8661,IM1l0138,339156
Kaki Bukit Avenue 1,1.3329,103.9043,IM1l0139,417940
Robinson Road,1.2793,103.8488,IM1l0140,68902
Draycott Park,1.3111,103.8321,IM1l0151,259387
Serangoon North Avenue 5,1.3724,103.8692,IM1l0154,554911
Ayer Chawan Place,1.2726,103.6861,IM1l0157,627871
Serangoon North Avenue 5,1.3724,103.8692,IM1l0164,554911
Jalan Bukit Merah,1.2842,103.8126,IM1l0165,159456
Tampines Street 92,1.3426,103.945,IM1l0166,528872
Ubi Avenue 1,1.3245,103.8936,IM1l0169,408939
Alps Avenue,1.3753,104.0032,IM1l0180,498793
Ubi Road 4,1.3307,103.8996,IM1l0183,408621
Marina View,1.2789,103.8512,IM1l0184,18960
Ang Mo Kio Street 65,1.3904,103.8494,IM1l0194,569060
Science Drive 2,1.2964,103.7797,IM1l01l0,117546
Yung Ho Road,1.3262,103.7207,IM1l01l2,618594
Scotts Road,1.3061,103.8319,IM1l01l4,228208
Tampines Street 92,1.3426,103.945,IM1l01l5,528872
Sembawang Road,1.4355,103.824,IM1l0203,757707
Lorong Bakar Batu,1.3279,103.8729,IM1l0206,348742
Shenton Way,1.2793,103.8506,IM1l0209,68803
Kaki Bukit Crescent,1.3357,103.9065,IM1l0217,416240
Shenton Way,1.2793,103.8506,IM1l0218,68803
Jurong Island Highway,1.2691,103.6985,IM1l021l,627867
Jurong Gateway Road,1.3366,103.7448,IM1l0222,608512
Ubi Crescent,1.3255,103.894,IM1l0225,408563
Central Exchange Green,1.3008,103.7897,IM1l0228,138649
